Model,DiceCoef,HD95,DiceET,DiceWT,DiceTC,Batch Size,Training time (s),Trainable Params,GFLOPs,Dice/s,Dice/M,Inference (ms),Peak VRAM (GB)
hybridattunet_no_attention,0.8227,5.1262,0.785,0.8744,0.8087,1,33017.379,6195556,589.0732,19.735646,0.132792,41.687,23.7396
hybridattunet_no_residual,0.7318,7.5973,0.6371,0.8114,0.747,1,16793.323,13142496,571.9814,14.021056,0.055685,52.1954,16.9235
hybridattunet_no_attention_no_residual,0.7417,7.7089,0.6614,0.8287,0.7349,1,18266.542,5239140,478.4778,21.357632,0.141561,34.7256,12.6549
hybridattunet,0.8307,4.4208,0.7458,0.9082,0.8382,1,28930.597,14098912,682.5768,13.921413,0.058923,59.6738,18.1791
